127.0.0.1 - - [30/Apr/2024:21:40:06 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:40:08 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:40:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:40:33 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:42:08 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:42:27 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:42:28 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:42:36 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:44:30 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 534
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:45:03 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 550
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:45:36 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:49:42 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:19 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:21 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:22 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:25 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:41 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 782
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:42 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:43 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:43 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:50:43 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:25 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 792
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:26 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:27 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:27 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:27 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:27 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:27 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Apr/2024:21:51:38 +0530] "GET /HospitalManagementSystem/login.html HTTP/1.1" 200 795
