127.0.0.1 - - [20/May/2024:21:28:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [20/May/2024:21:29:00 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [20/May/2024:21:29:00 +0530] "GET /HospitalManagementSystem/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:21:29:00 +0530] "GET /HospitalManagementSystem/CSS/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/May/2024:21:29:01 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [20/May/2024:21:31:33 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [20/May/2024:21:31:34 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4864
0:0:0:0:0:0:0:1 - - [20/May/2024:21:32:15 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4863
0:0:0:0:0:0:0:1 - - [20/May/2024:21:32:36 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [20/May/2024:21:34:41 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [20/May/2024:21:34:45 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [20/May/2024:21:35:29 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [20/May/2024:21:35:52 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4862
0:0:0:0:0:0:0:1 - - [20/May/2024:21:46:15 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4918
0:0:0:0:0:0:0:1 - - [20/May/2024:21:52:02 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 4927
0:0:0:0:0:0:0:1 - - [20/May/2024:21:55:36 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [20/May/2024:21:59:10 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [20/May/2024:21:59:12 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [20/May/2024:22:01:13 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:11 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:12 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:12 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:12 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:12 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:12 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:13 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:13 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:13 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:13 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:13 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:14 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:18:23 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2799
0:0:0:0:0:0:0:1 - - [20/May/2024:22:19:36 +0530] "GET /HospitalManagementSystem/admindashboard.jsp HTTP/1.1" 200 2800
