127.0.0.1 - - [23/May/2024:21:33:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/May/2024:21:33:25 +0530] "GET /HospitalManagementSystem/AboutUs.jsp HTTP/1.1" 200 2587
0:0:0:0:0:0:0:1 - - [23/May/2024:21:33:25 +0530] "GET /HospitalManagementSystem/CSS/adminStyle.css HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [23/May/2024:21:33:25 +0530] "GET /HospitalManagementSystem/images/hos.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:21:33:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2024:21:46:26 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 6296
0:0:0:0:0:0:0:1 - - [23/May/2024:21:46:26 +0530] "GET /HospitalManagementSystem/CSS/loginstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:21:46:26 +0530] "GET /HospitalManagementSystem/images/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2024:21:46:26 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:23 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:27 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:29 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:30 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:30 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:30 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:30 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:30 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:47:31 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:02 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 500 2584
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:34 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 500 2584
0:0:0:0:0:0:0:1 - - [23/May/2024:21:48:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2024:21:49:27 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:49:27 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/May/2024:21:50:16 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5056
0:0:0:0:0:0:0:1 - - [23/May/2024:21:52:37 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5072
0:0:0:0:0:0:0:1 - - [23/May/2024:22:44:51 +0530] "GET /HospitalManagementSystem/AddDoctor.jsp HTTP/1.1" 200 5985
